surveillance_network	method	threshold_value	paired_n	alert_frequency	sensitivity	specificity	baseline_alert_frequency	baseline_sensitivity	baseline_specificity	expected_cost_ratio_vs_baseline	n_events	n_detected	detection_rate	detection_rate_ci_lo	detection_rate_ci_hi	median_lead_weeks	max_lead_weeks	baseline_detection_rate	baseline_median_lead_weeks	baseline_max_lead_weeks	episodes_total	episodes_true	episodes_false	episode_ppv	episode_ppv_note
FluSurv-NET	ridge_with_signals	12.175	51	0.2941176470588235	0.8333333333333334	1.0	0.2352941176470588	0.3888888888888889	0.8484848484848485	0.2222222222222221	2	0	0.0	0.0	0.6576197724933469			0.5	4.0	4.0	2	0	2	0.0	Few alert episodes; PPV is unstable under this episode definition.
RSV-NET	ridge_with_ed	1.975	104	0.2596153846153846	0.925925925925926	0.974025974025974	0.2596153846153846	0.7777777777777778	0.922077922077922	0.3333333333333333	4	1	0.25	0.0455872608097005	0.6993581574175981	1.0	1.0	0.75	4.0	4.0	4	3	1	0.75	
