surveillance_network	age_group	site	n_rows	time_min	time_max	variable	n_missing	frac_missing
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	65+ yr	Overall	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	California	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Colorado	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Connecticut	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Georgia	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	rate_per_100k	0	0.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	rsvpos	36	1.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	rsvtest	36	1.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	rsv_positivity	36	1.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	wili	0	0.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	flu_positivity	36	1.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	ed_influenza_pct_65p	36	1.0
FluSurv-NET	Overall	Iowa	36	2021-10-09	2022-06-11	ed_rsv_pct_65p	36	1.0
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Maryland	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Michigan	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Minnesota	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	New Mexico	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	New York	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	rsvpos	123	1.0
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	rsvtest	123	1.0
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	rsv_positivity	123	1.0
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	wili	1	0.008130081300813009
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	flu_positivity	0	0.0
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	ed_influenza_pct_65p	0	0.0
FluSurv-NET	Overall	North Carolina	123	2023-10-07	2026-07-04	ed_rsv_pct_65p	0	0.0
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rate_per_100k	0	0.0
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rsvpos	150	0.7075471698113207
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rsvtest	150	0.7075471698113207
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rsv_positivity	150	0.7075471698113207
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	wili	0	0.0
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	flu_positivity	98	0.46226415094339623
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	ed_influenza_pct_65p	98	0.46226415094339623
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	ed_rsv_pct_65p	98	0.46226415094339623
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Oregon	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	rsvpos	221	0.7809187279151943
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	rsvtest	221	0.7809187279151943
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	rsv_positivity	221	0.7809187279151943
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	wili	1	0.0035335689045936395
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	flu_positivity	129	0.4558303886925795
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	ed_influenza_pct_65p	129	0.4558303886925795
FluSurv-NET	Overall	Overall	283	2018-10-06	2026-07-04	ed_rsv_pct_65p	129	0.4558303886925795
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Tennessee	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	rsvpos	190	0.753968253968254
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	rsvtest	190	0.753968253968254
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	rsv_positivity	190	0.753968253968254
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	wili	1	0.003968253968253968
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	flu_positivity	98	0.3888888888888889
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	ed_influenza_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Utah	252	2018-10-06	2026-07-04	ed_rsv_pct_65p	98	0.3888888888888889
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	rate_per_100k	0	0.0
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	rsvpos	40	1.0
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	rsvtest	40	1.0
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	rsv_positivity	40	1.0
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	wili	1	0.025
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	flu_positivity	0	0.0
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	ed_influenza_pct_65p	0	0.0
FluSurv-NET	Overall	Washington	40	2025-10-04	2026-07-04	ed_rsv_pct_65p	0	0.0
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	rate_per_100k	0	0.0
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	rsvpos	301	0.8292011019283747
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	rsvtest	301	0.8292011019283747
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	rsv_positivity	301	0.8292011019283747
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	wili	1	0.0027548209366391185
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	flu_positivity	166	0.4573002754820937
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	ed_influenza_pct_65p	166	0.4573002754820937
RSV-NET	65+ yr	Overall	363	2018-10-06	2026-07-04	ed_rsv_pct_65p	166	0.4573002754820937
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	rate_per_100k	0	0.0
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	rsvpos	301	0.8292011019283747
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	rsvtest	301	0.8292011019283747
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	rsv_positivity	301	0.8292011019283747
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	wili	1	0.0027548209366391185
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	flu_positivity	166	0.4573002754820937
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	ed_influenza_pct_65p	166	0.4573002754820937
RSV-NET	Overall	California	363	2018-10-06	2026-07-04	ed_rsv_pct_65p	166	0.4573002754820937
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	rate_per_100k	0	0.0
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	rsvpos	301	0.8292011019283747
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	rsvtest	301	0.8292011019283747
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	rsv_positivity	301	0.8292011019283747
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	wili	1	0.0027548209366391185
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	flu_positivity	166	0.4573002754820937
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	ed_influenza_pct_65p	166	0.4573002754820937
RSV-NET	Overall	Colorado	363	2018-10-06	2026-07-04	ed_rsv_pct_65p	166	0.4573002754820937
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	rate_per_100k	0	0.0
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	rsvpos	301	0.8292011019283747
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	rsvtest	301	0.8292011019283747
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	rsv_positivity	301	0.8292011019283747
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	wili	1	0.0027548209366391185
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	flu_positivity	166	0.4573002754820937
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	ed_influenza_pct_65p	166	0.4573002754820937
RSV-NET	Overall	Connecticut	363	2018-10-06	2026-07-04	ed_rsv_pct_65p	166	0.4573002754820937
RSV-NET	Overall	Georgia	363	2018-10-06	2026-07-04	rate_per_100k	0	0.0
RSV-NET	Overall	Georgia	363	2018-10-06	2026-07-04	rsvpos	301	0.8292011019283747
RSV-NET	Overall	Georgia	363	2018-10-06	2026-07-04	rsvtest	301	0.8292011019283747
RSV-NET	Overall	Georgia	363	2018-10-06	2026-07-04	rsv_positivity	301	0.8292011019283747
RSV-NET	Overall	Georgia	363	2018-10-06	2026-07-04	wili	1	0.0027548209366391185
