surveillance_network	site	week_ending_date	epiweeks	age_group	rate_per_100k	rsvpos	rsvtest	rsv_positivity	wili	flu_positivity
FluSurv-NET	California	2019-02-02	201905	Overall	2.5	3252.0	27766.0	0.11712165958366347	4.34227	
FluSurv-NET	California	2019-02-09	201906	Overall	2.2	3197.0	30162.0	0.10599429746038061	4.86953	
FluSurv-NET	California	2019-02-16	201907	Overall	3.1	2758.0	27421.0	0.10057984756208745	5.03689	
FluSurv-NET	California	2019-02-23	201908	Overall	4.0	2612.0	28187.0	0.09266683222762266	4.8812	
FluSurv-NET	California	2019-03-02	201909	Overall	5.5	2248.0	28342.0	0.0793169148260532	4.54791	
FluSurv-NET	California	2019-03-09	201910	Overall	4.6	1978.0	28567.0	0.0692407323135086	4.3762	
FluSurv-NET	California	2019-03-16	201911	Overall	3.6	1837.0	29271.0	0.06275836151822622	4.22692	
FluSurv-NET	California	2019-03-23	201912	Overall	4.1	1529.0	27846.0	0.05490914314443726	3.68251	
FluSurv-NET	California	2019-03-30	201913	Overall	2.8	1259.0	25207.0	0.0499464434482485	3.08559	
FluSurv-NET	California	2019-04-06	201914	Overall	1.8	843.0	21510.0	0.039191073919107394	2.69831	
FluSurv-NET	California	2019-04-13	201915	Overall	1.0	648.0	19141.0	0.0338540306149104	2.28676	
FluSurv-NET	California	2019-04-20	201916	Overall	0.7	549.0	17641.0	0.031120684768437164	2.01217	
FluSurv-NET	California	2019-04-27	201917	Overall	0.6	437.0	16222.0	0.026938725188016273	1.71323	
FluSurv-NET	California	2019-05-04	201918	Overall	0.1	297.0	14437.0	0.02057214102652906	1.56678	
FluSurv-NET	California	2019-10-05	201940	Overall	0.2	406.0	13859.0	0.029295042932390505	1.49002	
FluSurv-NET	California	2019-10-12	201941	Overall	0.1	392.0	15134.0	0.025901942645698426	1.59192	
FluSurv-NET	California	2019-10-19	201942	Overall	0.1	534.0	16363.0	0.03263460245676221	1.72572	
FluSurv-NET	California	2019-10-26	201943	Overall	0.4	837.0	16123.0	0.05191341561744092	1.83419	
FluSurv-NET	California	2019-11-02	201944	Overall	0.7	1043.0	17240.0	0.06049883990719258	2.04008	
FluSurv-NET	California	2019-11-09	201945	Overall	0.9	1514.0	19202.0	0.07884595354650557	2.39351	
FluSurv-NET	California	2019-11-16	201946	Overall	1.0	2058.0	20036.0	0.10271511279696546	2.63251	
FluSurv-NET	California	2019-11-23	201947	Overall	0.8	2635.0	22391.0	0.11768121120092895	2.89941	
FluSurv-NET	California	2019-11-30	201948	Overall	0.9	3321.0	21807.0	0.1522905489063145	3.41501	
FluSurv-NET	California	2019-12-07	201949	Overall	1.5	3977.0	25823.0	0.15400999109321148	3.2579	
FluSurv-NET	California	2019-12-14	201950	Overall	1.6	4110.0	27091.0	0.15171090029899229	3.94308	
FluSurv-NET	California	2019-12-21	201951	Overall	2.0	4886.0	31128.0	0.15696479054227705	5.06435	
FluSurv-NET	California	2019-12-28	201952	Overall	3.0	5403.0	34433.0	0.15691342607382452	7.06161	
FluSurv-NET	California	2020-01-04	202001	Overall	4.7	5632.0	36718.0	0.15338526063511085	5.90066	
FluSurv-NET	California	2020-01-11	202002	Overall	4.6	4531.0	34938.0	0.12968687389089245	4.9402	
FluSurv-NET	California	2020-01-18	202003	Overall	4.3	4159.0	34661.0	0.11999076772164681	5.33135	
FluSurv-NET	California	2020-01-25	202004	Overall	4.9	3925.0	36708.0	0.10692492099814754	6.07822	
FluSurv-NET	California	2020-02-01	202005	Overall	4.2	3574.0	38777.0	0.09216803775433892	6.74724	
FluSurv-NET	California	2020-02-08	202006	Overall	4.2	3271.0	39197.0	0.08345026405082022	6.80157	
FluSurv-NET	California	2020-02-15	202007	Overall	4.1	2902.0	38187.0	0.07599444837248279	6.11292	
FluSurv-NET	California	2020-02-22	202008	Overall	4.3	2450.0	35753.0	0.06852571812155624	5.52513	
FluSurv-NET	California	2020-02-29	202009	Overall	3.5	2115.0	35957.0	0.058820257529827294	5.12333	
FluSurv-NET	California	2020-03-07	202010	Overall	2.4	1993.0	38007.0	0.05243770884310785	5.26652	
FluSurv-NET	California	2020-03-14	202011	Overall	1.7	1926.0	46884.0	0.041080112618377275	5.66932	
FluSurv-NET	California	2020-03-21	202012	Overall	0.6	1694.0	52483.0	0.03227711830497494	6.38029	
FluSurv-NET	California	2020-03-28	202013	Overall	0.1	841.0	34387.0	0.024456916858114984	4.91692	
FluSurv-NET	California	2020-04-04	202014	Overall	0.1	312.0	22287.0	0.013999192354287253	3.78625	
FluSurv-NET	California	2020-04-11	202015	Overall	0.0	132.0	14486.0	0.009112246306778959	2.80122	
FluSurv-NET	California	2020-04-18	202016	Overall	0.1	72.0	11405.0	0.006313020604997808	2.12907	
FluSurv-NET	California	2020-04-25	202017	Overall	0.0	49.0	9959.0	0.004920172708103223	1.73315	
FluSurv-NET	California	2020-05-02	202018	Overall	0.0	37.0	8444.0	0.00438180956892468	1.40939	
FluSurv-NET	California	2021-10-09	202140	Overall	0.0				2.03726	
FluSurv-NET	California	2021-10-16	202141	Overall	0.1				1.94864	
FluSurv-NET	California	2021-10-23	202142	Overall	0.0				1.92538	
FluSurv-NET	California	2021-10-30	202143	Overall	0.0				1.9789	
FluSurv-NET	California	2021-11-06	202144	Overall	0.0				2.1334	
FluSurv-NET	California	2021-11-13	202145	Overall	0.0				2.25788	
FluSurv-NET	California	2021-11-20	202146	Overall	0.0				2.41079	
FluSurv-NET	California	2021-11-27	202147	Overall	0.1				2.51762	
FluSurv-NET	California	2021-12-04	202148	Overall	0.1				2.55244	
FluSurv-NET	California	2021-12-11	202149	Overall	0.0				2.72476	
FluSurv-NET	California	2021-12-18	202150	Overall	0.0				3.14645	
FluSurv-NET	California	2021-12-25	202151	Overall	0.1				4.00686	
FluSurv-NET	California	2022-01-01	202152	Overall	0.1				4.90468	
FluSurv-NET	California	2022-01-08	202201	Overall	0.1				4.32906	
FluSurv-NET	California	2022-01-15	202202	Overall	0.1				3.5344	
FluSurv-NET	California	2022-01-22	202203	Overall	0.0				2.82024	
FluSurv-NET	California	2022-01-29	202204	Overall	0.0				2.06558	
FluSurv-NET	California	2022-02-05	202205	Overall	0.0				1.68092	
FluSurv-NET	California	2022-02-12	202206	Overall	0.0				1.44022	
FluSurv-NET	California	2022-02-19	202207	Overall	0.0				1.48974	
FluSurv-NET	California	2022-02-26	202208	Overall	0.1				1.46266	
FluSurv-NET	California	2022-03-05	202209	Overall	0.1				1.58728	
FluSurv-NET	California	2022-03-12	202210	Overall	0.1				1.70339	
FluSurv-NET	California	2022-03-19	202211	Overall	0.1				1.83335	
FluSurv-NET	California	2022-03-26	202212	Overall	0.1				1.87057	
FluSurv-NET	California	2022-04-02	202213	Overall	0.1				1.97612	
FluSurv-NET	California	2022-04-09	202214	Overall	0.1				2.07126	
FluSurv-NET	California	2022-04-16	202215	Overall	0.1				2.16302	
FluSurv-NET	California	2022-04-23	202216	Overall	0.2				2.20418	
FluSurv-NET	California	2022-04-30	202217	Overall	0.4				2.24681	
FluSurv-NET	California	2022-05-07	202218	Overall	0.2				2.3613	
FluSurv-NET	California	2022-05-14	202219	Overall	0.4				2.48314	
FluSurv-NET	California	2022-05-21	202220	Overall	0.7				2.45354	
FluSurv-NET	California	2022-05-28	202221	Overall	0.8				2.39624	
FluSurv-NET	California	2022-06-04	202222	Overall	0.5				2.4335	
FluSurv-NET	California	2022-06-11	202223	Overall	0.5				2.16334	
FluSurv-NET	California	2022-10-08	202240	Overall	0.1				2.61257	0.027000000000000003
FluSurv-NET	California	2022-10-15	202241	Overall	0.1				3.00763	0.035
FluSurv-NET	California	2022-10-22	202242	Overall	0.1				3.31975	0.054000000000000006
FluSurv-NET	California	2022-10-29	202243	Overall	0.2				4.3682	0.084
FluSurv-NET	California	2022-11-05	202244	Overall	0.4				5.42144	0.128
FluSurv-NET	California	2022-11-12	202245	Overall	1.0				5.73522	0.149
FluSurv-NET	California	2022-11-19	202246	Overall	2.0				5.91793	0.183
FluSurv-NET	California	2022-11-26	202247	Overall	4.3				7.42531	0.258
FluSurv-NET	California	2022-12-03	202248	Overall	6.3				7.21822	0.256
FluSurv-NET	California	2022-12-10	202249	Overall	6.1				6.87034	0.263
FluSurv-NET	California	2022-12-17	202250	Overall	5.0				6.29772	0.245
FluSurv-NET	California	2022-12-24	202251	Overall	5.8				6.00293	0.20800000000000002
FluSurv-NET	California	2022-12-31	202252	Overall	4.9				5.33838	0.149
FluSurv-NET	California	2023-01-07	202301	Overall	2.6				3.93482	0.086
FluSurv-NET	California	2023-01-14	202302	Overall	0.9				2.94553	0.046
FluSurv-NET	California	2023-01-21	202303	Overall	0.3				2.63811	0.028999999999999998
FluSurv-NET	California	2023-01-28	202304	Overall	0.2				2.62522	0.021
FluSurv-NET	California	2023-02-04	202305	Overall	0.5				2.58477	0.017
FluSurv-NET	California	2023-02-11	202306	Overall	0.4				2.59148	0.013999999999999999
FluSurv-NET	California	2023-02-18	202307	Overall	0.3				2.5701	0.011000000000000001
FluSurv-NET	California	2023-02-25	202308	Overall	0.3				2.52707	0.01
FluSurv-NET	California	2023-03-04	202309	Overall	0.1				2.40469	0.009000000000000001
FluSurv-NET	California	2023-03-11	202310	Overall	0.1				2.3571	0.01
FluSurv-NET	California	2023-03-18	202311	Overall	0.1				2.3545	0.009000000000000001
FluSurv-NET	California	2023-03-25	202312	Overall	0.0				2.31096	0.009000000000000001
FluSurv-NET	California	2023-04-01	202313	Overall	0.1				2.25771	0.01
FluSurv-NET	California	2023-04-08	202314	Overall	0.2				2.12953	0.011000000000000001
FluSurv-NET	California	2023-04-15	202315	Overall	0.0				2.01047	0.01
FluSurv-NET	California	2023-04-22	202316	Overall	0.1				1.90776	0.008
FluSurv-NET	California	2023-04-29	202317	Overall	0.0				1.90393	0.01
FluSurv-NET	California	2023-05-06	202318	Overall	0.0				1.93608	0.009000000000000001
FluSurv-NET	California	2023-10-07	202340	Overall	0.3				2.27908	0.011000000000000001
FluSurv-NET	California	2023-10-14	202341	Overall	0.2				2.33755	0.013000000000000001
FluSurv-NET	California	2023-10-21	202342	Overall	0.1				2.52242	0.015
FluSurv-NET	California	2023-10-28	202343	Overall	0.1				2.71275	0.018000000000000002
FluSurv-NET	California	2023-11-04	202344	Overall	0.3				2.94538	0.026000000000000002
FluSurv-NET	California	2023-11-11	202345	Overall	0.8				3.40957	0.04
FluSurv-NET	California	2023-11-18	202346	Overall	1.0				3.6903	0.049
FluSurv-NET	California	2023-11-25	202347	Overall	1.3				3.92958	0.059000000000000004
FluSurv-NET	California	2023-12-02	202348	Overall	2.4				4.03334	0.07
FluSurv-NET	California	2023-12-09	202349	Overall	2.6				4.38382	0.098
FluSurv-NET	California	2023-12-16	202350	Overall	2.9				5.18426	0.134
FluSurv-NET	California	2023-12-23	202351	Overall	4.5				6.23157	0.17300000000000001
FluSurv-NET	California	2023-12-30	202352	Overall	5.2				6.7962	0.182
FluSurv-NET	California	2024-01-06	202401	Overall	5.3				5.71536	0.138
FluSurv-NET	California	2024-01-13	202402	Overall	2.9				4.66576	0.139
FluSurv-NET	California	2024-01-20	202403	Overall	2.8				4.32446	0.149
FluSurv-NET	California	2024-01-27	202404	Overall	1.8				4.22972	0.161
FluSurv-NET	California	2024-02-03	202405	Overall	1.4				4.42065	0.163
FluSurv-NET	California	2024-02-10	202406	Overall	1.3				4.45705	0.159
FluSurv-NET	California	2024-02-17	202407	Overall	1.0				4.35511	0.156
FluSurv-NET	California	2024-02-24	202408	Overall	1.0				4.33545	0.155
FluSurv-NET	California	2024-03-02	202409	Overall	0.9				4.0587	0.149
FluSurv-NET	California	2024-03-09	202410	Overall	0.7				3.72797	0.142
FluSurv-NET	California	2024-03-16	202411	Overall	0.7				3.39722	0.11900000000000001
FluSurv-NET	California	2024-03-23	202412	Overall	0.6				3.08528	0.10400000000000001
FluSurv-NET	California	2024-03-30	202413	Overall	0.8				2.97703	0.092
FluSurv-NET	California	2024-04-06	202414	Overall	0.6				2.76586	0.075
FluSurv-NET	California	2024-04-13	202415	Overall	0.6				2.53824	0.057999999999999996
FluSurv-NET	California	2024-04-20	202416	Overall	0.9				2.24747	0.048
FluSurv-NET	California	2024-04-27	202417	Overall	0.7				2.19144	0.038
FluSurv-NET	California	2024-05-04	202418	Overall	0.6				2.09931	0.032
FluSurv-NET	California	2024-05-11	202419	Overall	0.5				2.00488	0.023
FluSurv-NET	California	2024-05-18	202420	Overall	0.5				1.97657	0.018000000000000002
FluSurv-NET	California	2024-05-25	202421	Overall	0.4				1.90707	0.016
FluSurv-NET	California	2024-06-01	202422	Overall	0.6				1.87651	0.016
FluSurv-NET	California	2024-06-08	202423	Overall	0.5				1.66065	0.015
FluSurv-NET	California	2024-06-15	202424	Overall	0.3				1.58178	0.013000000000000001
FluSurv-NET	California	2024-06-22	202425	Overall	0.6				1.49244	0.01
FluSurv-NET	California	2024-06-29	202426	Overall	0.4				1.4663	0.009000000000000001
FluSurv-NET	California	2024-07-06	202427	Overall	0.5				1.37639	0.01
FluSurv-NET	California	2024-07-13	202428	Overall	0.4				1.45548	0.008
FluSurv-NET	California	2024-07-20	202429	Overall	0.2				1.45233	0.006999999999999999
FluSurv-NET	California	2024-07-27	202430	Overall	0.1				1.52211	0.006
FluSurv-NET	California	2024-08-03	202431	Overall	0.1				1.53543	0.006
FluSurv-NET	California	2024-08-10	202432	Overall	0.1				1.53984	0.005
FluSurv-NET	California	2024-08-17	202433	Overall	0.3				1.56577	0.005
FluSurv-NET	California	2024-08-24	202434	Overall	0.1				1.76988	0.004
FluSurv-NET	California	2024-08-31	202435	Overall	0.2				1.93414	0.004
FluSurv-NET	California	2024-09-07	202436	Overall	0.1				1.9202	0.004
FluSurv-NET	California	2024-09-14	202437	Overall	0.1				1.95528	0.005
FluSurv-NET	California	2024-09-21	202438	Overall	0.2				1.95303	0.005
FluSurv-NET	California	2024-09-28	202439	Overall	0.3				1.93495	0.005
FluSurv-NET	California	2024-10-05	202440	Overall	0.2				1.90509	0.006999999999999999
FluSurv-NET	California	2024-10-12	202441	Overall	0.2				2.02014	0.006999999999999999
FluSurv-NET	California	2024-10-19	202442	Overall	0.2				2.07037	0.006999999999999999
FluSurv-NET	California	2024-10-26	202443	Overall	0.4				2.22044	0.01
FluSurv-NET	California	2024-11-02	202444	Overall	0.4				2.31725	0.012
FluSurv-NET	California	2024-11-09	202445	Overall	0.4				2.4719	0.015
FluSurv-NET	California	2024-11-16	202446	Overall	0.5				2.6917	0.021
FluSurv-NET	California	2024-11-23	202447	Overall	0.8				2.88949	0.027999999999999997
FluSurv-NET	California	2024-11-30	202448	Overall	0.7				3.18283	0.039
FluSurv-NET	California	2024-12-07	202449	Overall	1.5				3.318	0.052000000000000005
FluSurv-NET	California	2024-12-14	202450	Overall	2.4				3.78793	0.086
FluSurv-NET	California	2024-12-21	202451	Overall	3.2				4.94489	0.142
FluSurv-NET	California	2024-12-28	202452	Overall	6.7				6.74349	0.182
FluSurv-NET	California	2025-01-04	202501	Overall	8.5				6.25398	0.182
FluSurv-NET	California	2025-01-11	202502	Overall	7.6				5.30512	0.184
FluSurv-NET	California	2025-01-18	202503	Overall	8.6				5.74558	0.23800000000000002
FluSurv-NET	California	2025-01-25	202504	Overall	10.3				6.98693	0.287
FluSurv-NET	California	2025-02-01	202505	Overall	10.5				7.79898	0.316
FluSurv-NET	California	2025-02-08	202506	Overall	9.7				7.84378	0.314
FluSurv-NET	California	2025-02-15	202507	Overall	7.7				6.93692	0.278
FluSurv-NET	California	2025-02-22	202508	Overall	6.3				5.90072	0.239
FluSurv-NET	California	2025-03-01	202509	Overall	4.7				4.87406	0.195
FluSurv-NET	California	2025-03-08	202510	Overall	1.5				4.26679	0.159
FluSurv-NET	California	2025-03-15	202511	Overall	2.5				3.81006	0.133
FluSurv-NET	California	2025-03-22	202512	Overall	1.6				3.25232	0.107
FluSurv-NET	California	2025-03-29	202513	Overall	1.3				2.89999	0.092
FluSurv-NET	California	2025-04-05	202514	Overall	1.0				2.56142	0.076
FluSurv-NET	California	2025-04-12	202515	Overall	0.8				2.41066	0.062
FluSurv-NET	California	2025-04-19	202516	Overall	0.8				2.26966	0.053
FluSurv-NET	California	2025-04-26	202517	Overall	0.5				2.16654	0.044000000000000004
FluSurv-NET	California	2025-05-03	202518	Overall	0.5				1.99958	0.033
FluSurv-NET	California	2025-10-04	202540	Overall	0.0				1.61487	0.005
FluSurv-NET	California	2025-10-11	202541	Overall	0.1				1.63936	0.005
FluSurv-NET	California	2025-10-18	202542	Overall	0.3				1.7015	0.006
FluSurv-NET	California	2025-10-25	202543	Overall	0.2				1.74245	0.008
FluSurv-NET	California	2025-11-01	202544	Overall	0.3				1.82919	0.011000000000000001
FluSurv-NET	California	2025-11-08	202545	Overall	0.3				2.12535	0.019
FluSurv-NET	California	2025-11-15	202546	Overall	0.2				2.26689	0.033
FluSurv-NET	California	2025-11-22	202547	Overall	0.3				2.5297	0.055
FluSurv-NET	California	2025-11-29	202548	Overall	0.5				2.96909	0.08
FluSurv-NET	California	2025-12-06	202549	Overall	0.7				3.29145	0.09
FluSurv-NET	California	2025-12-13	202550	Overall	1.0				4.12574	0.154
FluSurv-NET	California	2025-12-20	202551	Overall	3.0				6.00828	0.255
FluSurv-NET	California	2025-12-27	202552	Overall	4.4				8.27647	0.317
FluSurv-NET	California	2026-01-03	202553	Overall	4.6				7.16586	0.24600000000000002
FluSurv-NET	California	2026-01-10	202601	Overall	3.9				5.29536	0.185
FluSurv-NET	California	2026-01-17	202602	Overall	3.9				4.38228	0.17
FluSurv-NET	California	2026-01-24	202603	Overall	3.5				4.73977	0.175
FluSurv-NET	California	2026-01-31	202604	Overall	3.2				4.42457	0.174
FluSurv-NET	California	2026-02-07	202605	Overall	3.7				4.60645	0.18
FluSurv-NET	California	2026-02-14	202606	Overall	3.2				4.55694	0.184
FluSurv-NET	California	2026-02-21	202607	Overall	2.0				4.39494	0.18100000000000002
FluSurv-NET	California	2026-02-28	202608	Overall	2.6				3.86304	0.158
FluSurv-NET	California	2026-03-07	202609	Overall	1.5				3.69308	0.15
FluSurv-NET	California	2026-03-14	202610	Overall	0.7				3.25084	0.127
FluSurv-NET	Colorado	2018-10-06	201840	Overall	0.0	204.0	11351.0	0.01797198484715003	1.41876	
FluSurv-NET	Colorado	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077	
FluSurv-NET	Colorado	2018-10-20	201842	Overall	0.2	452.0	12926.0	0.03496828098406313	1.47139	
FluSurv-NET	Colorado	2018-10-27	201843	Overall	0.0	658.0	14062.0	0.04679277485421704	1.63634	
FluSurv-NET	Colorado	2018-11-03	201844	Overall	0.2	880.0	14537.0	0.0605351860769072	1.79125	
FluSurv-NET	Colorado	2018-11-10	201845	Overall	0.1	1109.0	15331.0	0.07233709477529189	1.86871	
FluSurv-NET	Colorado	2018-11-17	201846	Overall	0.2	1407.0	15921.0	0.08837384586395326	1.98121	
FluSurv-NET	Colorado	2018-11-24	201847	Overall	0.4	1634.0	15836.0	0.10318262187421066	2.23487	
FluSurv-NET	Colorado	2018-12-01	201848	Overall	0.8	2033.0	17854.0	0.11386804077517643	2.14572	
FluSurv-NET	Colorado	2018-12-08	201849	Overall	2.0	2313.0	17780.0	0.13008998875140607	2.25134	
FluSurv-NET	Colorado	2018-12-15	201850	Overall	2.9	2709.0	20374.0	0.132963581034652	2.6411	
FluSurv-NET	Colorado	2018-12-22	201851	Overall	5.0	3477.0	22889.0	0.15190702957752633	3.13478	
FluSurv-NET	Colorado	2018-12-29	201852	Overall	6.7	3680.0	24408.0	0.15077023926581448	3.96538	
FluSurv-NET	Colorado	2019-01-05	201901	Overall	5.9	3922.0	26370.0	0.14872961698900267	3.45972	
FluSurv-NET	Colorado	2019-01-12	201902	Overall	4.4	3467.0	25479.0	0.1360728443031516	3.07558	
FluSurv-NET	Colorado	2019-01-19	201903	Overall	2.6	3266.0	24680.0	0.13233387358184764	3.3258	
FluSurv-NET	Colorado	2019-01-26	201904	Overall	2.3	3261.0	27516.0	0.118512865242041	3.79773	
FluSurv-NET	Colorado	2019-02-02	201905	Overall	1.9	3252.0	27766.0	0.11712165958366347	4.34227	
FluSurv-NET	Colorado	2019-02-09	201906	Overall	2.5	3197.0	30162.0	0.10599429746038061	4.86953	
FluSurv-NET	Colorado	2019-02-16	201907	Overall	2.7	2758.0	27421.0	0.10057984756208745	5.03689	
FluSurv-NET	Colorado	2019-02-23	201908	Overall	3.8	2612.0	28187.0	0.09266683222762266	4.8812	
FluSurv-NET	Colorado	2019-03-02	201909	Overall	4.4	2248.0	28342.0	0.0793169148260532	4.54791	
FluSurv-NET	Colorado	2019-03-09	201910	Overall	5.5	1978.0	28567.0	0.0692407323135086	4.3762	
FluSurv-NET	Colorado	2019-03-16	201911	Overall	4.2	1837.0	29271.0	0.06275836151822622	4.22692	
FluSurv-NET	Colorado	2019-03-23	201912	Overall	4.1	1529.0	27846.0	0.05490914314443726	3.68251	
FluSurv-NET	Colorado	2019-03-30	201913	Overall	2.4	1259.0	25207.0	0.0499464434482485	3.08559	
FluSurv-NET	Colorado	2019-04-06	201914	Overall	1.6	843.0	21510.0	0.039191073919107394	2.69831	
FluSurv-NET	Colorado	2019-04-13	201915	Overall	0.9	648.0	19141.0	0.0338540306149104	2.28676	
FluSurv-NET	Colorado	2019-04-20	201916	Overall	0.8	549.0	17641.0	0.031120684768437164	2.01217	
FluSurv-NET	Colorado	2019-04-27	201917	Overall	0.5	437.0	16222.0	0.026938725188016273	1.71323	
FluSurv-NET	Colorado	2019-05-04	201918	Overall	0.3	297.0	14437.0	0.02057214102652906	1.56678	
FluSurv-NET	Colorado	2019-10-05	201940	Overall	0.1	406.0	13859.0	0.029295042932390505	1.49002	
FluSurv-NET	Colorado	2019-10-12	201941	Overall	0.1	392.0	15134.0	0.025901942645698426	1.59192	
FluSurv-NET	Colorado	2019-10-19	201942	Overall	0.3	534.0	16363.0	0.03263460245676221	1.72572	
FluSurv-NET	Colorado	2019-10-26	201943	Overall	0.3	837.0	16123.0	0.05191341561744092	1.83419	
FluSurv-NET	Colorado	2019-11-02	201944	Overall	0.4	1043.0	17240.0	0.06049883990719258	2.04008	
FluSurv-NET	Colorado	2019-11-09	201945	Overall	0.5	1514.0	19202.0	0.07884595354650557	2.39351	
FluSurv-NET	Colorado	2019-11-16	201946	Overall	0.4	2058.0	20036.0	0.10271511279696546	2.63251	
FluSurv-NET	Colorado	2019-11-23	201947	Overall	0.8	2635.0	22391.0	0.11768121120092895	2.89941	
FluSurv-NET	Colorado	2019-11-30	201948	Overall	0.8	3321.0	21807.0	0.1522905489063145	3.41501	
FluSurv-NET	Colorado	2019-12-07	201949	Overall	1.2	3977.0	25823.0	0.15400999109321148	3.2579	
FluSurv-NET	Colorado	2019-12-14	201950	Overall	1.3	4110.0	27091.0	0.15171090029899229	3.94308	
FluSurv-NET	Colorado	2019-12-21	201951	Overall	2.0	4886.0	31128.0	0.15696479054227705	5.06435	
FluSurv-NET	Colorado	2019-12-28	201952	Overall	3.7	5403.0	34433.0	0.15691342607382452	7.06161	
FluSurv-NET	Colorado	2020-01-04	202001	Overall	4.1	5632.0	36718.0	0.15338526063511085	5.90066	
FluSurv-NET	Colorado	2020-01-11	202002	Overall	4.3	4531.0	34938.0	0.12968687389089245	4.9402	
FluSurv-NET	Colorado	2020-01-18	202003	Overall	4.0	4159.0	34661.0	0.11999076772164681	5.33135	
FluSurv-NET	Colorado	2020-01-25	202004	Overall	4.9	3925.0	36708.0	0.10692492099814754	6.07822	
FluSurv-NET	Colorado	2020-02-01	202005	Overall	4.9	3574.0	38777.0	0.09216803775433892	6.74724	
FluSurv-NET	Colorado	2020-02-08	202006	Overall	5.4	3271.0	39197.0	0.08345026405082022	6.80157	
FluSurv-NET	Colorado	2020-02-15	202007	Overall	3.9	2902.0	38187.0	0.07599444837248279	6.11292	
FluSurv-NET	Colorado	2020-02-22	202008	Overall	3.8	2450.0	35753.0	0.06852571812155624	5.52513	
FluSurv-NET	Colorado	2020-02-29	202009	Overall	3.0	2115.0	35957.0	0.058820257529827294	5.12333	
FluSurv-NET	Colorado	2020-03-07	202010	Overall	3.1	1993.0	38007.0	0.05243770884310785	5.26652	
FluSurv-NET	Colorado	2020-03-14	202011	Overall	2.1	1926.0	46884.0	0.041080112618377275	5.66932	
FluSurv-NET	Colorado	2020-03-21	202012	Overall	0.8	1694.0	52483.0	0.03227711830497494	6.38029	
FluSurv-NET	Colorado	2020-03-28	202013	Overall	0.2	841.0	34387.0	0.024456916858114984	4.91692	
FluSurv-NET	Colorado	2020-04-04	202014	Overall	0.1	312.0	22287.0	0.013999192354287253	3.78625	
FluSurv-NET	Colorado	2020-04-11	202015	Overall	0.0	132.0	14486.0	0.009112246306778959	2.80122	
FluSurv-NET	Colorado	2020-04-18	202016	Overall	0.0	72.0	11405.0	0.006313020604997808	2.12907	
FluSurv-NET	Colorado	2020-04-25	202017	Overall	0.0	49.0	9959.0	0.004920172708103223	1.73315	
FluSurv-NET	Colorado	2020-05-02	202018	Overall	0.0	37.0	8444.0	0.00438180956892468	1.40939	
FluSurv-NET	Colorado	2021-10-09	202140	Overall	0.0				2.03726	
FluSurv-NET	Colorado	2021-10-16	202141	Overall	0.0				1.94864	
FluSurv-NET	Colorado	2021-10-23	202142	Overall	0.1				1.92538	
FluSurv-NET	Colorado	2021-10-30	202143	Overall	0.1				1.9789	
FluSurv-NET	Colorado	2021-11-06	202144	Overall	0.0				2.1334	
FluSurv-NET	Colorado	2021-11-13	202145	Overall	0.1				2.25788	
FluSurv-NET	Colorado	2021-11-20	202146	Overall	0.0				2.41079	
FluSurv-NET	Colorado	2021-11-27	202147	Overall	0.1				2.51762	
FluSurv-NET	Colorado	2021-12-04	202148	Overall	0.5				2.55244	
