surveillance_network	site	week_ending_date	epiweeks	age_group	rate_per_100k	rsvpos	rsvtest	rsv_positivity	wili	flu_positivity
FluSurv-NET	California	2018-10-06	201840	Overall	0.2	204.0	11351.0	0.01797198484715003	1.41876	
FluSurv-NET	California	2018-10-13	201841	Overall	0.2	382.0	12038.0	0.0317328459877056	1.40077	
FluSurv-NET	California	2018-10-20	201842	Overall	0.2	452.0	12926.0	0.03496828098406313	1.47139	
FluSurv-NET	California	2018-10-27	201843	Overall	0.2	658.0	14062.0	0.04679277485421704	1.63634	
FluSurv-NET	California	2018-11-03	201844	Overall	0.1	880.0	14537.0	0.0605351860769072	1.79125	
FluSurv-NET	California	2018-11-10	201845	Overall	0.2	1109.0	15331.0	0.07233709477529189	1.86871	
FluSurv-NET	California	2018-11-17	201846	Overall	0.2	1407.0	15921.0	0.08837384586395326	1.98121	
FluSurv-NET	California	2018-11-24	201847	Overall	0.4	1634.0	15836.0	0.10318262187421066	2.23487	
FluSurv-NET	California	2018-12-01	201848	Overall	0.7	2033.0	17854.0	0.11386804077517643	2.14572	
FluSurv-NET	California	2018-12-08	201849	Overall	0.4	2313.0	17780.0	0.13008998875140607	2.25134	
FluSurv-NET	California	2018-12-15	201850	Overall	0.7	2709.0	20374.0	0.132963581034652	2.6411	
FluSurv-NET	California	2018-12-22	201851	Overall	1.3	3477.0	22889.0	0.15190702957752633	3.13478	
FluSurv-NET	California	2018-12-29	201852	Overall	1.7	3680.0	24408.0	0.15077023926581448	3.96538	
FluSurv-NET	California	2019-01-05	201901	Overall	3.6	3922.0	26370.0	0.14872961698900267	3.45972	
FluSurv-NET	California	2019-01-12	201902	Overall	3.6	3467.0	25479.0	0.1360728443031516	3.07558	
FluSurv-NET	California	2019-01-19	201903	Overall	2.6	3266.0	24680.0	0.13233387358184764	3.3258	
FluSurv-NET	California	2019-01-26	201904	Overall	2.2	3261.0	27516.0	0.118512865242041	3.79773	
