surveillance_network	age_group	site	n_rows	time_min	time_max	variable	n_missing	frac_missing
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	New Mexico	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	New Mexico	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	New Mexico	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	New Mexico	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	New Mexico	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	New Mexico	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	New York	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	New York	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	New York	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	New York	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	New York	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	New York	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	North Carolina	107	2023-10-07	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	North Carolina	107	2023-10-07	2026-03-14	rsvpos	107	1.0
FluSurv-NET	Overall	North Carolina	107	2023-10-07	2026-03-14	rsvtest	107	1.0
FluSurv-NET	Overall	North Carolina	107	2023-10-07	2026-03-14	rsv_positivity	107	1.0
FluSurv-NET	Overall	North Carolina	107	2023-10-07	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	North Carolina	107	2023-10-07	2026-03-14	flu_positivity	0	0.0
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rate_per_100k	0	0.0
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rsvpos	150	0.7075471698113207
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rsvtest	150	0.7075471698113207
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	rsv_positivity	150	0.7075471698113207
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	wili	0	0.0
FluSurv-NET	Overall	Ohio	212	2018-10-06	2025-05-03	flu_positivity	98	0.46226415094339623
FluSurv-NET	Overall	Oregon	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Oregon	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Oregon	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Oregon	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Oregon	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Oregon	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Overall	1919	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Overall	1919	2018-10-06	2026-03-14	rsvpos	1423	0.7415320479416363
FluSurv-NET	Overall	Overall	1919	2018-10-06	2026-03-14	rsvtest	1423	0.7415320479416363
FluSurv-NET	Overall	Overall	1919	2018-10-06	2026-03-14	rsv_positivity	1423	0.7415320479416363
FluSurv-NET	Overall	Overall	1919	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Overall	1919	2018-10-06	2026-03-14	flu_positivity	815	0.42470036477331946
FluSurv-NET	Overall	Tennessee	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Tennessee	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Tennessee	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Tennessee	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Tennessee	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Tennessee	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Utah	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Utah	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Utah	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Utah	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Utah	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Utah	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Washington	24	2025-10-04	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Washington	24	2025-10-04	2026-03-14	rsvpos	24	1.0
FluSurv-NET	Overall	Washington	24	2025-10-04	2026-03-14	rsvtest	24	1.0
FluSurv-NET	Overall	Washington	24	2025-10-04	2026-03-14	rsv_positivity	24	1.0
FluSurv-NET	Overall	Washington	24	2025-10-04	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Washington	24	2025-10-04	2026-03-14	flu_positivity	0	0.0
RSV-NET	65-74 yr	Overall	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	65-74 yr	Overall	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	65-74 yr	Overall	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	65-74 yr	Overall	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	65-74 yr	Overall	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	65-74 yr	Overall	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	75-84 yr	Overall	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	75-84 yr	Overall	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	75-84 yr	Overall	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	75-84 yr	Overall	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	75-84 yr	Overall	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	75-84 yr	Overall	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	85+ yr	Overall	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	85+ yr	Overall	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	85+ yr	Overall	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	85+ yr	Overall	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	85+ yr	Overall	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	85+ yr	Overall	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	California	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	California	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	California	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	California	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	California	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	California	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Colorado	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Colorado	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Colorado	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Colorado	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Colorado	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Colorado	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Connecticut	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Connecticut	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Connecticut	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Connecticut	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Connecticut	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Connecticut	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Georgia	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Georgia	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Georgia	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Georgia	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Georgia	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Georgia	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Maryland	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Maryland	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Maryland	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Maryland	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Maryland	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Maryland	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Michigan	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Michigan	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Michigan	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Michigan	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Michigan	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Michigan	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Minnesota	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Minnesota	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Minnesota	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Minnesota	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Minnesota	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Minnesota	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	New Mexico	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	New Mexico	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	New Mexico	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	New Mexico	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	New Mexico	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	New Mexico	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	New York	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	New York	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	New York	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	New York	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	New York	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	New York	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	North Carolina	76	2024-10-05	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	North Carolina	76	2024-10-05	2026-03-14	rsvpos	76	1.0
RSV-NET	Overall	North Carolina	76	2024-10-05	2026-03-14	rsvtest	76	1.0
