surveillance_network	site	week_ending_date	epiweeks	age_group	rate_per_100k	rsvpos	rsvtest	rsv_positivity	wili	flu_positivity	ed_influenza_pct_65p	ed_rsv_pct_65p
FluSurv-NET	Overall	2018-10-06	201840	65+ yr	0.2	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-13	201841	65+ yr	0.3	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-20	201842	65+ yr	0.3	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-27	201843	65+ yr	0.3	658.0	14062.0	0.04679277485421704	1.63634			
FluSurv-NET	Overall	2018-11-03	201844	65+ yr	0.5	880.0	14537.0	0.0605351860769072	1.79125			
FluSurv-NET	Overall	2018-11-10	201845	65+ yr	0.5	1109.0	15331.0	0.07233709477529189	1.86871			
FluSurv-NET	Overall	2018-11-17	201846	65+ yr	0.5	1407.0	15921.0	0.08837384586395326	1.98121			
FluSurv-NET	Overall	2018-11-24	201847	65+ yr	0.8	1634.0	15836.0	0.10318262187421066	2.23487			
FluSurv-NET	Overall	2018-12-01	201848	65+ yr	1.4	2033.0	17854.0	0.11386804077517643	2.14572			
FluSurv-NET	Overall	2018-12-08	201849	65+ yr	1.6	2313.0	17780.0	0.13008998875140607	2.25134			
FluSurv-NET	Overall	2018-12-15	201850	65+ yr	2.4	2709.0	20374.0	0.132963581034652	2.6411			
FluSurv-NET	Overall	2018-12-22	201851	65+ yr	4.3	3477.0	22889.0	0.15190702957752633	3.13478			
FluSurv-NET	Overall	2018-12-29	201852	65+ yr	7.7	3680.0	24408.0	0.15077023926581448	3.96538			
FluSurv-NET	Overall	2019-01-05	201901	65+ yr	8.9	3922.0	26370.0	0.14872961698900267	3.45972			
FluSurv-NET	Overall	2019-01-12	201902	65+ yr	6.9	3467.0	25479.0	0.1360728443031516	3.07558			
FluSurv-NET	Overall	2019-01-19	201903	65+ yr	5.5	3266.0	24680.0	0.13233387358184764	3.3258			
FluSurv-NET	Overall	2019-01-26	201904	65+ yr	6.1	3261.0	27516.0	0.118512865242041	3.79773			
FluSurv-NET	Overall	2019-02-02	201905	65+ yr	8.5	3252.0	27766.0	0.11712165958366347	4.34227			
FluSurv-NET	Overall	2019-02-09	201906	65+ yr	11.0	3197.0	30162.0	0.10599429746038061	4.86953			
FluSurv-NET	Overall	2019-02-16	201907	65+ yr	12.5	2758.0	27421.0	0.10057984756208745	5.03689			
FluSurv-NET	Overall	2019-02-23	201908	65+ yr	15.7	2612.0	28187.0	0.09266683222762266	4.8812			
FluSurv-NET	Overall	2019-03-02	201909	65+ yr	16.9	2248.0	28342.0	0.0793169148260532	4.54791			
FluSurv-NET	Overall	2019-03-09	201910	65+ yr	19.2	1978.0	28567.0	0.0692407323135086	4.3762			
FluSurv-NET	Overall	2019-03-16	201911	65+ yr	21.1	1837.0	29271.0	0.06275836151822622	4.22692			
FluSurv-NET	Overall	2019-03-23	201912	65+ yr	18.7	1529.0	27846.0	0.05490914314443726	3.68251			
FluSurv-NET	Overall	2019-03-30	201913	65+ yr	14.2	1259.0	25207.0	0.0499464434482485	3.08559			
