surveillance_network	site	week_ending_date	epiweeks	age_group	rate_per_100k	rsvpos	rsvtest	rsv_positivity	wili	flu_positivity	ed_influenza_pct_65p	ed_rsv_pct_65p
FluSurv-NET	Overall	2019-04-06	201914	65+ yr	11.1	843.0	21510.0	0.039191073919107394	2.69831			
FluSurv-NET	Overall	2019-04-13	201915	65+ yr	7.4	648.0	19141.0	0.0338540306149104	2.28676			
FluSurv-NET	Overall	2019-04-20	201916	65+ yr	4.2	549.0	17641.0	0.031120684768437164	2.01217			
FluSurv-NET	Overall	2019-04-27	201917	65+ yr	2.4	437.0	16222.0	0.026938725188016273	1.71323			
FluSurv-NET	Overall	2019-05-04	201918	65+ yr	0.8	297.0	14437.0	0.02057214102652906	1.56678			
FluSurv-NET	Overall	2019-10-05	201940	65+ yr	0.4	406.0	13859.0	0.029295042932390505	1.49002			
FluSurv-NET	Overall	2019-10-12	201941	65+ yr	0.2	392.0	15134.0	0.025901942645698426	1.59192			
FluSurv-NET	Overall	2019-10-19	201942	65+ yr	0.6	534.0	16363.0	0.03263460245676221	1.72572			
FluSurv-NET	Overall	2019-10-26	201943	65+ yr	0.6	837.0	16123.0	0.05191341561744092	1.83419			
FluSurv-NET	Overall	2019-11-02	201944	65+ yr	0.8	1043.0	17240.0	0.06049883990719258	2.04008			
FluSurv-NET	Overall	2019-11-09	201945	65+ yr	0.6	1514.0	19202.0	0.07884595354650557	2.39351			
FluSurv-NET	Overall	2019-11-16	201946	65+ yr	0.8	2058.0	20036.0	0.10271511279696546	2.63251			
FluSurv-NET	Overall	2019-11-23	201947	65+ yr	1.5	2635.0	22391.0	0.11768121120092895	2.89941			
FluSurv-NET	Overall	2019-11-30	201948	65+ yr	2.1	3321.0	21807.0	0.1522905489063145	3.41501			
FluSurv-NET	Overall	2019-12-07	201949	65+ yr	2.6	3977.0	25823.0	0.15400999109321148	3.2579			
FluSurv-NET	Overall	2019-12-14	201950	65+ yr	3.6	4110.0	27091.0	0.15171090029899229	3.94308			
FluSurv-NET	Overall	2019-12-21	201951	65+ yr	4.6	4886.0	31128.0	0.15696479054227705	5.06435			
FluSurv-NET	Overall	2019-12-28	201952	65+ yr	10.2	5403.0	34433.0	0.15691342607382452	7.06161			
FluSurv-NET	Overall	2020-01-04	202001	65+ yr	13.9	5632.0	36718.0	0.15338526063511085	5.90066			
FluSurv-NET	Overall	2020-01-11	202002	65+ yr	12.2	4531.0	34938.0	0.12968687389089245	4.9402			
FluSurv-NET	Overall	2020-01-18	202003	65+ yr	9.7	4159.0	34661.0	0.11999076772164681	5.33135			
FluSurv-NET	Overall	2020-01-25	202004	65+ yr	11.0	3925.0	36708.0	0.10692492099814754	6.07822			
FluSurv-NET	Overall	2020-02-01	202005	65+ yr	12.7	3574.0	38777.0	0.09216803775433892	6.74724			
FluSurv-NET	Overall	2020-02-08	202006	65+ yr	15.7	3271.0	39197.0	0.08345026405082022	6.80157			
FluSurv-NET	Overall	2020-02-15	202007	65+ yr	14.4	2902.0	38187.0	0.07599444837248279	6.11292			
FluSurv-NET	Overall	2020-02-22	202008	65+ yr	14.3	2450.0	35753.0	0.06852571812155624	5.52513			
FluSurv-NET	Overall	2020-02-29	202009	65+ yr	14.0	2115.0	35957.0	0.058820257529827294	5.12333			
FluSurv-NET	Overall	2020-03-07	202010	65+ yr	12.1	1993.0	38007.0	0.05243770884310785	5.26652			
FluSurv-NET	Overall	2020-03-14	202011	65+ yr	8.4	1926.0	46884.0	0.041080112618377275	5.66932			
FluSurv-NET	Overall	2020-03-21	202012	65+ yr	3.3	1694.0	52483.0	0.03227711830497494	6.38029			
FluSurv-NET	Overall	2020-03-28	202013	65+ yr	1.1	841.0	34387.0	0.024456916858114984	4.91692			
FluSurv-NET	Overall	2020-04-04	202014	65+ yr	0.3	312.0	22287.0	0.013999192354287253	3.78625			
FluSurv-NET	Overall	2020-04-11	202015	65+ yr	0.1	132.0	14486.0	0.009112246306778959	2.80122			
FluSurv-NET	Overall	2020-04-18	202016	65+ yr	0.3	72.0	11405.0	0.006313020604997808	2.12907			
FluSurv-NET	Overall	2020-04-25	202017	65+ yr	0.1	49.0	9959.0	0.004920172708103223	1.73315			
FluSurv-NET	Overall	2020-05-02	202018	65+ yr	0.0	37.0	8444.0	0.00438180956892468	1.40939			
FluSurv-NET	Overall	2021-10-09	202140	65+ yr	0.0				2.03726			
FluSurv-NET	Overall	2021-10-16	202141	65+ yr	0.1				1.94864			
FluSurv-NET	Overall	2021-10-23	202142	65+ yr	0.0				1.92538			
FluSurv-NET	Overall	2021-10-30	202143	65+ yr	0.1				1.9789			
FluSurv-NET	Overall	2021-11-06	202144	65+ yr	0.0				2.1334			
FluSurv-NET	Overall	2021-11-13	202145	65+ yr	0.1				2.25788			
FluSurv-NET	Overall	2021-11-20	202146	65+ yr	0.2				2.41079			
FluSurv-NET	Overall	2021-11-27	202147	65+ yr	0.6				2.51762			
FluSurv-NET	Overall	2021-12-04	202148	65+ yr	0.9				2.55244			
FluSurv-NET	Overall	2021-12-11	202149	65+ yr	1.2				2.72476			
FluSurv-NET	Overall	2021-12-18	202150	65+ yr	1.7				3.14645			
FluSurv-NET	Overall	2021-12-25	202151	65+ yr	2.0				4.00686			
FluSurv-NET	Overall	2022-01-01	202152	65+ yr	2.8				4.90468			
FluSurv-NET	Overall	2022-01-08	202201	65+ yr	1.8				4.32906			
FluSurv-NET	Overall	2022-01-15	202202	65+ yr	0.9				3.5344			
FluSurv-NET	Overall	2022-01-22	202203	65+ yr	0.5				2.82024			
FluSurv-NET	Overall	2022-01-29	202204	65+ yr	0.3				2.06558			
FluSurv-NET	Overall	2022-02-05	202205	65+ yr	0.5				1.68092			
FluSurv-NET	Overall	2022-02-12	202206	65+ yr	0.4				1.44022			
FluSurv-NET	Overall	2022-02-19	202207	65+ yr	0.5				1.48974			
FluSurv-NET	Overall	2022-02-26	202208	65+ yr	0.8				1.46266			
FluSurv-NET	Overall	2022-03-05	202209	65+ yr	1.1				1.58728			
FluSurv-NET	Overall	2022-03-12	202210	65+ yr	1.3				1.70339			
FluSurv-NET	Overall	2022-03-19	202211	65+ yr	1.7				1.83335			
FluSurv-NET	Overall	2022-03-26	202212	65+ yr	1.8				1.87057			
FluSurv-NET	Overall	2022-04-02	202213	65+ yr	3.0				1.97612			
FluSurv-NET	Overall	2022-04-09	202214	65+ yr	3.3				2.07126			
FluSurv-NET	Overall	2022-04-16	202215	65+ yr	3.4				2.16302			
FluSurv-NET	Overall	2022-04-23	202216	65+ yr	3.6				2.20418			
FluSurv-NET	Overall	2022-04-30	202217	65+ yr	3.8				2.24681			
FluSurv-NET	Overall	2022-05-07	202218	65+ yr	3.4				2.3613			
FluSurv-NET	Overall	2022-05-14	202219	65+ yr	3.2				2.48314			
FluSurv-NET	Overall	2022-05-21	202220	65+ yr	2.4				2.45354			
FluSurv-NET	Overall	2022-05-28	202221	65+ yr	1.6				2.39624			
FluSurv-NET	Overall	2022-06-04	202222	65+ yr	1.1				2.4335			
FluSurv-NET	Overall	2022-06-11	202223	65+ yr	0.9				2.16334			
FluSurv-NET	Overall	2022-10-08	202240	65+ yr	0.8				2.61257	0.027000000000000003	0.002	0.001
FluSurv-NET	Overall	2022-10-15	202241	65+ yr	1.2				3.00763	0.035	0.002	0.001
FluSurv-NET	Overall	2022-10-22	202242	65+ yr	2.1				3.31975	0.054000000000000006	0.004	0.001
FluSurv-NET	Overall	2022-10-29	202243	65+ yr	3.8				4.3682	0.084	0.006	0.002
FluSurv-NET	Overall	2022-11-05	202244	65+ yr	5.1				5.42144	0.128	0.009000000000000001	0.002
FluSurv-NET	Overall	2022-11-12	202245	65+ yr	7.7				5.73522	0.149	0.012	0.003
FluSurv-NET	Overall	2022-11-19	202246	65+ yr	9.7				5.91793	0.183	0.015	0.003
FluSurv-NET	Overall	2022-11-26	202247	65+ yr	18.4				7.42531	0.258	0.03	0.003
FluSurv-NET	Overall	2022-12-03	202248	65+ yr	26.1				7.21822	0.256	0.037000000000000005	0.003
FluSurv-NET	Overall	2022-12-10	202249	65+ yr	22.2				6.87034	0.263	0.031	0.004
FluSurv-NET	Overall	2022-12-17	202250	65+ yr	18.3				6.29772	0.245	0.027999999999999997	0.003
FluSurv-NET	Overall	2022-12-24	202251	65+ yr	16.9				6.00293	0.20800000000000002	0.028999999999999998	0.003
FluSurv-NET	Overall	2022-12-31	202252	65+ yr	18.1				5.33838	0.149	0.028999999999999998	0.003
FluSurv-NET	Overall	2023-01-07	202301	65+ yr	10.7				3.93482	0.086	0.017	0.002
FluSurv-NET	Overall	2023-01-14	202302	65+ yr	4.1				2.94553	0.046	0.008	0.002
FluSurv-NET	Overall	2023-01-21	202303	65+ yr	2.4				2.63811	0.028999999999999998	0.005	0.001
FluSurv-NET	Overall	2023-01-28	202304	65+ yr	1.4				2.62522	0.021	0.003	0.001
FluSurv-NET	Overall	2023-02-04	202305	65+ yr	1.5				2.58477	0.017	0.003	0.001
FluSurv-NET	Overall	2023-02-11	202306	65+ yr	1.0				2.59148	0.013999999999999999	0.002	0.001
FluSurv-NET	Overall	2023-02-18	202307	65+ yr	1.1				2.5701	0.011000000000000001	0.002	0.001
FluSurv-NET	Overall	2023-02-25	202308	65+ yr	0.8				2.52707	0.01	0.002	0.001
FluSurv-NET	Overall	2023-03-04	202309	65+ yr	0.7				2.40469	0.009000000000000001	0.002	0.001
FluSurv-NET	Overall	2023-03-11	202310	65+ yr	0.8				2.3571	0.01	0.002	0.0
FluSurv-NET	Overall	2023-03-18	202311	65+ yr	0.6				2.3545	0.009000000000000001	0.001	0.0
FluSurv-NET	Overall	2023-03-25	202312	65+ yr	0.6				2.31096	0.009000000000000001	0.001	0.0
FluSurv-NET	Overall	2023-04-01	202313	65+ yr	0.6				2.25771	0.01	0.001	0.0
FluSurv-NET	Overall	2023-04-08	202314	65+ yr	0.5				2.12953	0.011000000000000001	0.001	0.0
FluSurv-NET	Overall	2023-04-15	202315	65+ yr	0.5				2.01047	0.01	0.001	0.0
FluSurv-NET	Overall	2023-04-22	202316	65+ yr	0.6				1.90776	0.008	0.001	0.0
FluSurv-NET	Overall	2023-04-29	202317	65+ yr	0.2				1.90393	0.01	0.001	0.0
FluSurv-NET	Overall	2023-05-06	202318	65+ yr	0.1				1.93608	0.009000000000000001	0.001	0.0
FluSurv-NET	Overall	2023-10-07	202340	65+ yr	0.7				2.27908	0.011000000000000001	0.002	0.0
FluSurv-NET	Overall	2023-10-14	202341	65+ yr	0.7				2.33755	0.013000000000000001	0.002	0.0
FluSurv-NET	Overall	2023-10-21	202342	65+ yr	0.6				2.52242	0.015	0.002	0.001
FluSurv-NET	Overall	2023-10-28	202343	65+ yr	0.5				2.71275	0.018000000000000002	0.002	0.001
FluSurv-NET	Overall	2023-11-04	202344	65+ yr	1.1				2.94538	0.026000000000000002	0.003	0.001
FluSurv-NET	Overall	2023-11-11	202345	65+ yr	1.6				3.40957	0.04	0.004	0.001
FluSurv-NET	Overall	2023-11-18	202346	65+ yr	2.1				3.6903	0.049	0.004	0.002
FluSurv-NET	Overall	2023-11-25	202347	65+ yr	3.4				3.92958	0.059000000000000004	0.006	0.003
FluSurv-NET	Overall	2023-12-02	202348	65+ yr	5.4				4.03334	0.07	0.008	0.003
FluSurv-NET	Overall	2023-12-09	202349	65+ yr	7.6				4.38382	0.098	0.01	0.004
FluSurv-NET	Overall	2023-12-16	202350	65+ yr	10.6				5.18426	0.134	0.013999999999999999	0.004
FluSurv-NET	Overall	2023-12-23	202351	65+ yr	17.4				6.23157	0.17300000000000001	0.023	0.005
FluSurv-NET	Overall	2023-12-30	202352	65+ yr	25.2				6.7962	0.182	0.033	0.006
FluSurv-NET	Overall	2024-01-06	202401	65+ yr	19.3				5.71536	0.138	0.026000000000000002	0.006
FluSurv-NET	Overall	2024-01-13	202402	65+ yr	14.7				4.66576	0.139	0.019	0.005
FluSurv-NET	Overall	2024-01-20	202403	65+ yr	12.0				4.32446	0.149	0.016	0.004
FluSurv-NET	Overall	2024-01-27	202404	65+ yr	10.2				4.22972	0.161	0.015	0.003
FluSurv-NET	Overall	2024-02-03	202405	65+ yr	9.6				4.42065	0.163	0.013999999999999999	0.003
FluSurv-NET	Overall	2024-02-10	202406	65+ yr	9.4				4.45705	0.159	0.013999999999999999	0.002
FluSurv-NET	Overall	2024-02-17	202407	65+ yr	9.0				4.35511	0.156	0.013000000000000001	0.002
FluSurv-NET	Overall	2024-02-24	202408	65+ yr	9.2				4.33545	0.155	0.013999999999999999	0.002
FluSurv-NET	Overall	2024-03-02	202409	65+ yr	9.4				4.0587	0.149	0.013999999999999999	0.002
FluSurv-NET	Overall	2024-03-09	202410	65+ yr	7.2				3.72797	0.142	0.012	0.001
FluSurv-NET	Overall	2024-03-16	202411	65+ yr	6.1				3.39722	0.11900000000000001	0.009000000000000001	0.001
FluSurv-NET	Overall	2024-03-23	202412	65+ yr	4.8				3.08528	0.10400000000000001	0.006999999999999999	0.001
FluSurv-NET	Overall	2024-03-30	202413	65+ yr	5.0				2.97703	0.092	0.006999999999999999	0.001
FluSurv-NET	Overall	2024-04-06	202414	65+ yr	4.4				2.76586	0.075	0.006	0.001
FluSurv-NET	Overall	2024-04-13	202415	65+ yr	3.6				2.53824	0.057999999999999996	0.005	0.001
FluSurv-NET	Overall	2024-04-20	202416	65+ yr	2.7				2.24747	0.048	0.003	0.0
FluSurv-NET	Overall	2024-04-27	202417	65+ yr	2.0				2.19144	0.038	0.003	0.0
FluSurv-NET	Overall	2024-05-04	202418	65+ yr	1.5				2.09931	0.032	0.003	0.0
FluSurv-NET	Overall	2024-05-11	202419	65+ yr	1.3				2.00488	0.023	0.002	0.0
FluSurv-NET	Overall	2024-05-18	202420	65+ yr	0.8				1.97657	0.018000000000000002	0.002	0.0
FluSurv-NET	Overall	2024-05-25	202421	65+ yr	0.9				1.90707	0.016	0.002	0.0
FluSurv-NET	Overall	2024-06-01	202422	65+ yr	0.9				1.87651	0.016	0.002	0.0
FluSurv-NET	Overall	2024-06-08	202423	65+ yr	0.5				1.66065	0.015	0.002	0.0
FluSurv-NET	Overall	2024-06-15	202424	65+ yr	0.5				1.58178	0.013000000000000001	0.001	0.0
FluSurv-NET	Overall	2024-06-22	202425	65+ yr	0.8				1.49244	0.01	0.001	0.0
FluSurv-NET	Overall	2024-06-29	202426	65+ yr	0.4				1.4663	0.009000000000000001	0.001	0.0
FluSurv-NET	Overall	2024-07-06	202427	65+ yr	0.5				1.37639	0.01	0.001	0.0
FluSurv-NET	Overall	2024-07-13	202428	65+ yr	0.6				1.45548	0.008	0.001	0.0
FluSurv-NET	Overall	2024-07-20	202429	65+ yr	0.4				1.45233	0.006999999999999999	0.001	0.0
FluSurv-NET	Overall	2024-07-27	202430	65+ yr	0.2				1.52211	0.006	0.001	0.0
FluSurv-NET	Overall	2024-08-03	202431	65+ yr	0.2				1.53543	0.006	0.001	0.0
FluSurv-NET	Overall	2024-08-10	202432	65+ yr	0.4				1.53984	0.005	0.001	0.0
FluSurv-NET	Overall	2024-08-17	202433	65+ yr	0.3				1.56577	0.005	0.001	0.0
FluSurv-NET	Overall	2024-08-24	202434	65+ yr	0.2				1.76988	0.004	0.001	0.0
FluSurv-NET	Overall	2024-08-31	202435	65+ yr	0.3				1.93414	0.004	0.001	0.0
FluSurv-NET	Overall	2024-09-07	202436	65+ yr	0.3				1.9202	0.004	0.001	0.0
FluSurv-NET	Overall	2024-09-14	202437	65+ yr	0.3				1.95528	0.005	0.001	0.0
FluSurv-NET	Overall	2024-09-21	202438	65+ yr	0.4				1.95303	0.005	0.001	0.0
FluSurv-NET	Overall	2024-09-28	202439	65+ yr	0.4				1.93495	0.005	0.001	0.0
FluSurv-NET	Overall	2024-10-05	202440	65+ yr	0.3				1.90509	0.006999999999999999	0.001	0.0
FluSurv-NET	Overall	2024-10-12	202441	65+ yr	0.4				2.02014	0.006999999999999999	0.001	0.0
FluSurv-NET	Overall	2024-10-19	202442	65+ yr	0.6				2.07037	0.006999999999999999	0.001	0.0
FluSurv-NET	Overall	2024-10-26	202443	65+ yr	0.7				2.22044	0.01	0.001	0.0
FluSurv-NET	Overall	2024-11-02	202444	65+ yr	0.6				2.31725	0.012	0.002	0.0
FluSurv-NET	Overall	2024-11-09	202445	65+ yr	0.8				2.4719	0.015	0.002	0.0
FluSurv-NET	Overall	2024-11-16	202446	65+ yr	1.1				2.6917	0.021	0.002	0.001
FluSurv-NET	Overall	2024-11-23	202447	65+ yr	1.5				2.88949	0.027999999999999997	0.003	0.001
FluSurv-NET	Overall	2024-11-30	202448	65+ yr	1.7				3.18283	0.039	0.004	0.001
FluSurv-NET	Overall	2024-12-07	202449	65+ yr	3.6				3.318	0.052000000000000005	0.006	0.001
FluSurv-NET	Overall	2024-12-14	202450	65+ yr	5.7				3.78793	0.086	0.009000000000000001	0.002
FluSurv-NET	Overall	2024-12-21	202451	65+ yr	10.4				4.94489	0.142	0.016	0.003
FluSurv-NET	Overall	2024-12-28	202452	65+ yr	22.9				6.74349	0.182	0.034	0.004
FluSurv-NET	Overall	2025-01-04	202501	65+ yr	31.5				6.25398	0.182	0.038	0.005
FluSurv-NET	Overall	2025-01-11	202502	65+ yr	25.8				5.30512	0.184	0.031	0.005
FluSurv-NET	Overall	2025-01-18	202503	65+ yr	27.0				5.74558	0.23800000000000002	0.032	0.004
FluSurv-NET	Overall	2025-01-25	202504	65+ yr	32.7				6.98693	0.287	0.043	0.003
FluSurv-NET	Overall	2025-02-01	202505	65+ yr	43.9				7.79898	0.316	0.053	0.003
FluSurv-NET	Overall	2025-02-08	202506	65+ yr	42.6				7.84378	0.314	0.055999999999999994	0.003
FluSurv-NET	Overall	2025-02-15	202507	65+ yr	34.2				6.93692	0.278	0.048	0.003
FluSurv-NET	Overall	2025-02-22	202508	65+ yr	27.8				5.90072	0.239	0.04	0.003
FluSurv-NET	Overall	2025-03-01	202509	65+ yr	21.7				4.87406	0.195	0.031	0.003
FluSurv-NET	Overall	2025-03-08	202510	65+ yr	15.7				4.26679	0.159	0.024	0.002
FluSurv-NET	Overall	2025-03-15	202511	65+ yr	12.4				3.81006	0.133	0.019	0.002
FluSurv-NET	Overall	2025-03-22	202512	65+ yr	8.8				3.25232	0.107	0.013000000000000001	0.002
FluSurv-NET	Overall	2025-03-29	202513	65+ yr	6.4				2.89999	0.092	0.009000000000000001	0.002
FluSurv-NET	Overall	2025-04-05	202514	65+ yr	4.4				2.56142	0.076	0.006	0.001
FluSurv-NET	Overall	2025-04-12	202515	65+ yr	3.1				2.41066	0.062	0.004	0.001
FluSurv-NET	Overall	2025-04-19	202516	65+ yr	2.6				2.26966	0.053	0.003	0.001
FluSurv-NET	Overall	2025-04-26	202517	65+ yr	2.0				2.16654	0.044000000000000004	0.003	0.001
FluSurv-NET	Overall	2025-05-03	202518	65+ yr	0.8				1.99958	0.033	0.002	0.001
FluSurv-NET	Overall	2025-10-04	202540	65+ yr	0.2				1.61487	0.005	0.001	0.0
FluSurv-NET	Overall	2025-10-11	202541	65+ yr	0.5				1.63936	0.005	0.001	0.0
FluSurv-NET	Overall	2025-10-18	202542	65+ yr	0.5				1.7015	0.006	0.001	0.0
FluSurv-NET	Overall	2025-10-25	202543	65+ yr	0.7				1.74245	0.008	0.001	0.0
FluSurv-NET	Overall	2025-11-01	202544	65+ yr	0.7				1.82919	0.011000000000000001	0.002	0.0
FluSurv-NET	Overall	2025-11-08	202545	65+ yr	1.4				2.12535	0.019	0.002	0.0
FluSurv-NET	Overall	2025-11-15	202546	65+ yr	1.9				2.26689	0.033	0.003	0.0
FluSurv-NET	Overall	2025-11-22	202547	65+ yr	3.1				2.5297	0.055	0.004	0.001
FluSurv-NET	Overall	2025-11-29	202548	65+ yr	5.1				2.96909	0.08	0.006	0.001
FluSurv-NET	Overall	2025-12-06	202549	65+ yr	8.7				3.29145	0.09	0.009000000000000001	0.001
FluSurv-NET	Overall	2025-12-13	202550	65+ yr	13.4				4.12574	0.154	0.013000000000000001	0.001
FluSurv-NET	Overall	2025-12-20	202551	65+ yr	25.0				6.00828	0.255	0.026000000000000002	0.001
FluSurv-NET	Overall	2025-12-27	202552	65+ yr	44.4				8.27647	0.317	0.054000000000000006	0.002
FluSurv-NET	Overall	2026-01-03	202553	65+ yr	48.0				7.16586	0.24600000000000002	0.055999999999999994	0.003
FluSurv-NET	Overall	2026-01-10	202601	65+ yr	27.1				5.29536	0.185	0.034	0.003
FluSurv-NET	Overall	2026-01-17	202602	65+ yr	15.2				4.38228	0.17	0.021	0.003
FluSurv-NET	Overall	2026-01-24	202603	65+ yr	11.8				4.73977	0.175	0.019	0.002
FluSurv-NET	Overall	2026-01-31	202604	65+ yr	11.8				4.42457	0.174	0.018000000000000002	0.003
FluSurv-NET	Overall	2026-02-07	202605	65+ yr	10.9				4.60645	0.18	0.018000000000000002	0.003
FluSurv-NET	Overall	2026-02-14	202606	65+ yr	8.9				4.55694	0.184	0.018000000000000002	0.003
FluSurv-NET	Overall	2026-02-21	202607	65+ yr	8.2				4.39494	0.18100000000000002	0.015	0.003
FluSurv-NET	Overall	2026-02-28	202608	65+ yr	6.3				3.86304	0.158	0.011000000000000001	0.004
FluSurv-NET	Overall	2026-03-07	202609	65+ yr	5.0				3.69308	0.15	0.009000000000000001	0.003
FluSurv-NET	Overall	2026-03-14	202610	65+ yr	2.7				3.25084	0.127	0.006	0.003
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.1	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.0	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.2	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.2	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.0	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.0	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.1	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-06	201840	Overall	0.1	204.0	11351.0	0.01797198484715003	1.41876			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.0	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.0	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-13	201841	Overall	0.1	382.0	12038.0	0.0317328459877056	1.40077			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.1	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.1	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.1	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.1	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.0	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.0	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.1	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-20	201842	Overall	0.1	452.0	12926.0	0.03496828098406313	1.47139			
FluSurv-NET	Overall	2018-10-27	201843	Overall	0.1	658.0	14062.0	0.04679277485421704	1.63634			
FluSurv-NET	Overall	2018-10-27	201843	Overall	0.1	658.0	14062.0	0.04679277485421704	1.63634			
FluSurv-NET	Overall	2018-10-27	201843	Overall	0.1	658.0	14062.0	0.04679277485421704	1.63634			
FluSurv-NET	Overall	2018-10-27	201843	Overall	0.1	658.0	14062.0	0.04679277485421704	1.63634			
FluSurv-NET	Overall	2018-10-27	201843	Overall	0.1	658.0	14062.0	0.04679277485421704	1.63634			
